year,category,count
1956,established,28
1956,nascent,40
1957,developing,35
1957,emerging,40
1957,established,29
1957,nascent,39
1958,developing,40
1958,emerging,36
1958,established,29
1958,nascent,38
1959,developing,39
1959,emerging,36
1959,established,32
1959,nascent,37
1960,developing,41
1960,emerging,38
1960,established,38
1960,nascent,27
1961,developing,43
1961,emerging,39
1961,established,38
1961,nascent,25
1962,developing,42
1962,emerging,40
1962,established,39
1962,nascent,24
1963,developing,43
1963,emerging,35
1963,established,40
1963,nascent,25
1964,developing,44
1964,emerging,38
1964,established,41
1964,nascent,20
1965,developing,44
1965,emerging,39
1965,established,44
1965,nascent,18
1966,developing,48
1966,emerging,38
1966,established,44
1966,nascent,18
1967,developing,49
1967,emerging,39
1967,established,44
1967,nascent,18
1968,developing,48
1968,emerging,40
1968,established,45
1968,nascent,18
1969,developing,47
1969,emerging,42
1969,established,46
1969,nascent,17
1970,developing,48
1970,emerging,40
1970,established,46
1970,nascent,17
1971,developing,49
1971,emerging,40
1971,established,46
1971,nascent,17
1972,developing,51
1972,emerging,39
1972,established,45
1972,nascent,17
1973,developing,54
1973,emerging,36
1973,established,45
1973,nascent,18
1974,developing,57
1974,emerging,34
1974,established,47
1974,nascent,15
1975,developing,61
1975,emerging,30
1975,established,48
1975,nascent,15
1976,developing,60
1976,emerging,29
1976,established,50
1976,nascent,14
1977,developing,61
1977,emerging,29
1977,established,49
1977,nascent,14
1978,developing,59
1978,emerging,31
1978,established,50
1978,nascent,13
1979,developing,54
1979,emerging,31
1979,established,56
1979,nascent,13
1980,developing,51
1980,emerging,33
1980,established,61
1980,nascent,8
1981,developing,52
1981,emerging,30
1981,established,63
1981,nascent,8
1982,developing,50
1982,emerging,29
1982,established,66
1982,nascent,8
1983,developing,52
1983,emerging,27
1983,established,66
1983,nascent,9
1984,developing,51
1984,emerging,27
1984,established,67
1984,nascent,9
1985,developing,52
1985,emerging,27
1985,established,67
1985,nascent,8
1986,developing,51
1986,emerging,26
1986,established,69
1986,nascent,8
1987,developing,49
1987,emerging,26
1987,established,71
1987,nascent,8
1988,developing,45
1988,emerging,27
1988,established,76
1988,nascent,6
1989,developing,44
1989,emerging,28
1989,established,78
1989,nascent,5
1990,developing,45
1990,emerging,20
1990,established,98
1990,nascent,6
1991,developing,44
1991,emerging,17
1991,established,104
1991,nascent,4
1992,developing,45
1992,emerging,14
1992,established,106
1992,nascent,4
1993,developing,40
1993,emerging,14
1993,established,113
1993,nascent,4
1994,developing,39
1994,emerging,10
1994,established,118
1994,nascent,4
1995,developing,36
1995,emerging,11
1995,established,121
1995,nascent,3
1996,developing,38
1996,emerging,10
1996,established,120
1996,nascent,3
1997,developing,36
1997,emerging,10
1997,established,122
1997,nascent,3
1998,developing,35
1998,emerging,10
1998,established,124
1998,nascent,3
1999,developing,37
1999,emerging,9
1999,established,123
1999,nascent,3
2000,developing,32
2000,emerging,8
2000,established,129
2000,nascent,3
