"","region","abbr","id","year","voting","category","categoryvalue","change_point","continent"
"63","Bulgaria","BGR",152,1946,1,"established",4,"Change","Europe"
"64","Burkina Faso","BFA",54,1948,1,"developing",3,"Change","Africa"
"65","Burkina Faso","BFA",54,1966,0,"established",4,"No Change","Africa"
"66","Burkina Faso","BFA",54,1971,1,"developing",3,"Change","Africa"
"67","Burkina Faso","BFA",54,1974,0,"developing",3,"No Change","Africa"
"68","Burkina Faso","BFA",54,1978,1,"developing",3,"Change","Africa"
"69","Burkina Faso","BFA",54,1980,0,"developing",3,"No Change","Africa"
"70","Burkina Faso","BFA",54,1991,1,"established",4,"Change","Africa"
"71","Burma/Myanmar","MMR",10,1923,1,"emerging",2,"Change","Asia"
"72","Burma/Myanmar","MMR",10,1942,0,"emerging",2,"No Change","Asia"
"73","Burma/Myanmar","MMR",10,1947,1,"developing",3,"Change","Asia"
"74","Burma/Myanmar","MMR",10,1962,0,"emerging",2,"No Change","Asia"
"75","Burma/Myanmar","MMR",10,1974,1,"nascent",1,"Change","Asia"
"76","Burma/Myanmar","MMR",10,1988,0,"emerging",2,"No Change","Asia"
"77","Burundi","BDI",69,1961,1,"emerging",2,"Change","Africa"
"78","Burundi","BDI",69,1966,0,"emerging",2,"No Change","Africa"
"79","Burundi","BDI",69,1982,1,"developing",3,"Change","Africa"
"80","Burundi","BDI",69,1987,0,"developing",3,"No Change","Africa"
"81","Burundi","BDI",69,1993,1,"developing",3,"Change","Africa"
"82","Burundi","BDI",69,1996,0,"developing",3,"No Change","Africa"
"83","Cambodia","KHM",55,1958,1,"developing",3,"Change","Asia"
"84","Cambodia","KHM",55,1970,0,"developing",3,"No Change","Asia"
"85","Cambodia","KHM",55,1972,1,"developing",3,"Change","Asia"
"86","Cambodia","KHM",55,1973,0,"developing",3,"No Change","Asia"
"87","Cambodia","KHM",55,1976,1,"emerging",2,"Change","Asia"
"88","Cambodia","KHM",55,1979,0,"emerging",2,"No Change","Asia"
"89","Cambodia","KHM",55,1981,1,"emerging",2,"Change","Asia"
"90","Canada","CAN",66,1921,1,"developing",3,"Change","Americas"
"91","Cape Verde","CPV",70,1973,1,"nascent",1,"Change","Africa"
"92","Cape Verde","CPV",70,1974,0,"nascent",1,"No Change","Africa"
"93","Cape Verde","CPV",70,1975,1,"developing",3,"Change","Africa"
"94","Central African Republic","CAF",71,1946,1,"nascent",1,"Change","Africa"
"95","Central African Republic","CAF",71,1966,0,"emerging",2,"No Change","Africa"
"96","Central African Republic","CAF",71,1981,1,"developing",3,"Change","Africa"
"97","Central African Republic","CAF",71,1982,0,"developing",3,"No Change","Africa"
"98","Central African Republic","CAF",71,1987,1,"developing",3,"Change","Africa"
"99","Chad","TCD",109,1946,1,"nascent",1,"Change","Africa"
"100","Chad","TCD",109,1975,0,"emerging",2,"No Change","Africa"
"101","Chad","TCD",109,1990,1,"emerging",2,"Change","Africa"
"102","Chad","TCD",109,1991,0,"developing",3,"No Change","Africa"
"103","Chad","TCD",109,1996,1,"developing",3,"Change","Africa"
"104","Chile","CHL",72,1949,1,"emerging",2,"Change","Americas"
"105","Chile","CHL",72,1973,0,"emerging",2,"No Change","Americas"
"106","Chile","CHL",72,1990,1,"established",4,"Change","Americas"
"107","China","CHN",110,1954,1,"developing",3,"Change","Asia"
"108","China","CHN",110,1965,0,"developing",3,"No Change","Asia"
"109","China","CHN",110,1975,1,"developing",3,"Change","Asia"
"110","China","CHN",110,1976,0,"developing",3,"No Change","Asia"
"111","China","CHN",110,1978,1,"developing",3,"Change","Asia"
"112","Colombia","COL",15,1958,1,"developing",3,"Change","Americas"
"113","Comoros","COM",153,1946,1,"nascent",1,"Change","Africa"
"114","Comoros","COM",153,1975,0,"developing",3,"No Change","Africa"
"115","Comoros","COM",153,1978,1,"developing",3,"Change","Africa"
"116","Comoros","COM",153,1999,0,"developing",3,"No Change","Africa"
"117","Costa Rica","CRI",73,1953,1,"established",4,"Change","Americas"
"118","Croatia","HRV",154,1991,1,"established",4,"Change","Europe"
"119","Cuba","CUB",155,1936,1,"developing",3,"Change","Americas"
"120","Cuba","CUB",155,1952,0,"developing",3,"No Change","Americas"
"121","Cuba","CUB",155,1954,1,"developing",3,"Change","Americas"
"122","Cuba","CUB",155,1959,0,"developing",3,"No Change","Americas"
"123","Cuba","CUB",155,1976,1,"developing",3,"Change","Americas"
"124","Cyprus","CYP",156,1960,1,"developing",3,"Change","Asia"
"125","Czechia","CZE",157,1920,1,"established",4,"Change","Europe"
"126","Czechia","CZE",157,1939,0,"emerging",2,"No Change","Europe"
"127","Czechia","CZE",157,1946,1,"established",4,"Change","Europe"
"128","Democratic Republic of the Congo","COD",111,1970,1,"emerging",2,"Change","Africa"
"129","Democratic Republic of the Congo","COD",111,1992,0,"developing",3,"No Change","Africa"
"130","Denmark","DNK",158,1918,1,"established",4,"Change","Europe"
"131","Denmark","DNK",158,1943,0,"established",4,"No Change","Europe"
"132","Denmark","DNK",158,1945,1,"established",4,"Change","Europe"
"133","Djibouti","DJI",113,1946,1,"nascent",1,"Change","Africa"
"134","Dominican Republic","DOM",114,1942,1,"emerging",2,"Change","Americas"
"135","Dominican Republic","DOM",114,1963,0,"developing",3,"No Change","Americas"
"136","Dominican Republic","DOM",114,1966,1,"developing",3,"Change","Americas"
"137","Ecuador","ECU",75,1931,1,"emerging",2,"Change","Americas"
"138","Ecuador","ECU",75,1935,0,"emerging",2,"No Change","Americas"
"139","Ecuador","ECU",75,1937,1,"emerging",2,"Change","Americas"
"140","Ecuador","ECU",75,1963,0,"emerging",2,"No Change","Americas"
"141","Ecuador","ECU",75,1966,1,"emerging",2,"Change","Americas"
"142","Ecuador","ECU",75,1972,0,"emerging",2,"No Change","Americas"
"143","Ecuador","ECU",75,1979,1,"developing",3,"Change","Americas"
"144","Egypt","EGY",13,1956,1,"emerging",2,"Change","Africa"
"145","El Salvador","SLV",22,1950,1,"nascent",1,"Change","Americas"
"146","El Salvador","SLV",22,1960,0,"nascent",1,"No Change","Americas"
"147","El Salvador","SLV",22,1961,1,"nascent",1,"Change","Americas"
"148","El Salvador","SLV",22,1979,0,"emerging",2,"No Change","Americas"
"149","El Salvador","SLV",22,1982,1,"emerging",2,"Change","Americas"
"150","Equatorial Guinea","GNQ",160,1964,1,"nascent",1,"Change","Africa"
"151","Equatorial Guinea","GNQ",160,1969,0,"nascent",1,"No Change","Africa"
"152","Equatorial Guinea","GNQ",160,1983,1,"emerging",2,"Change","Africa"
"153","Estonia","EST",161,1919,1,"established",4,"Change","Europe"
"154","Estonia","EST",161,1935,0,"established",4,"No Change","Europe"
"155","Estonia","EST",161,1938,1,"established",4,"Change","Europe"
"156","Eswatini","SWZ",132,1964,1,"emerging",2,"Change","Africa"
"157","Eswatini","SWZ",132,1973,0,"emerging",2,"No Change","Africa"
"158","Eswatini","SWZ",132,1978,1,"developing",3,"Change","Africa"
"159","Ethiopia","ETH",38,1957,1,"nascent",1,"Change","Africa"
"160","Ethiopia","ETH",38,1974,0,"emerging",2,"No Change","Africa"
"161","Ethiopia","ETH",38,1987,1,"nascent",1,"Change","Africa"
"162","Ethiopia","ETH",38,1991,0,"developing",3,"No Change","Africa"
"163","Ethiopia","ETH",38,1994,1,"developing",3,"Change","Africa"
"164","Fiji","FJI",162,1966,1,"developing",3,"Change","Oceania"
"165","Fiji","FJI",162,1987,0,"developing",3,"No Change","Oceania"
"166","Fiji","FJI",162,1992,1,"developing",3,"Change","Oceania"
"167","Fiji","FJI",162,2000,0,"established",4,"No Change","Oceania"
"168","Finland","FIN",163,1907,1,"established",4,"Change","Europe"
"169","France","FRA",76,1945,1,"established",4,"Change","Europe"
"170","Gabon","GAB",116,1946,1,"nascent",1,"Change","Africa"
"171","German Democratic Republic","DDR",137,1950,1,"established",4,"Change",NA
"172","German Democratic Republic","DDR",137,1990,0,"established",4,"No Change",NA
"173","Germany","DEU",77,1919,1,"developing",3,"Change","Europe"
"174","Germany","DEU",77,1942,0,"nascent",1,"No Change","Europe"
"175","Germany","DEU",77,1950,1,"established",4,"Change","Europe"
"176","Ghana","GHA",7,1951,1,"emerging",2,"Change","Africa"
"177","Ghana","GHA",7,1965,0,"established",4,"No Change","Africa"
"178","Ghana","GHA",7,1969,1,"developing",3,"Change","Africa"
"179","Ghana","GHA",7,1972,0,"developing",3,"No Change","Africa"
"180","Ghana","GHA",7,1979,1,"developing",3,"Change","Africa"
"181","Ghana","GHA",7,1981,0,"developing",3,"No Change","Africa"
"182","Ghana","GHA",7,1992,1,"developing",3,"Change","Africa"
"183","Greece","GRC",164,1956,1,"established",4,"Change","Europe"
"184","Greece","GRC",164,1967,0,"developing",3,"No Change","Europe"
"185","Greece","GRC",164,1974,1,"developing",3,"Change","Europe"
"186","Guatemala","GTM",78,1945,1,"emerging",2,"Change","Americas"
"187","Guatemala","GTM",78,1954,0,"emerging",2,"No Change","Americas"
"188","Guatemala","GTM",78,1955,1,"nascent",1,"Change","Americas"
"189","Guatemala","GTM",78,1963,0,"nascent",1,"No Change","Americas"
"190","Guatemala","GTM",78,1966,1,"nascent",1,"Change","Americas"
"191","Guatemala","GTM",78,1982,0,"nascent",1,"No Change","Americas"
"192","Guatemala","GTM",78,1986,1,"emerging",2,"Change","Americas"
"193","Guinea","GIN",63,1946,1,"nascent",1,"Change","Africa"
"194","Guinea","GIN",63,1984,0,"emerging",2,"No Change","Africa"
"195","Guinea","GIN",63,1993,1,"developing",3,"Change","Africa"
"196","Guinea-Bissau","GNB",119,1972,1,"nascent",1,"Change","Africa"
"197","Guinea-Bissau","GNB",119,1980,0,"developing",3,"No Change","Africa"
"198","Guinea-Bissau","GNB",119,1984,1,"developing",3,"Change","Africa"
"199","Guinea-Bissau","GNB",119,1999,0,"developing",3,"No Change","Africa"
"200","Guinea-Bissau","GNB",119,2000,1,"established",4,"Change","Africa"
"201","Guyana","GUY",166,1930,1,"developing",3,"Change","Americas"
"202","Guyana","GUY",166,1953,0,"developing",3,"No Change","Americas"
"203","Guyana","GUY",166,1957,1,"developing",3,"Change","Americas"
"204","Haiti","HTI",26,1957,1,"emerging",2,"Change","Americas"
"205","Haiti","HTI",26,1986,0,"emerging",2,"No Change","Americas"
"206","Haiti","HTI",26,1991,1,"developing",3,"Change","Americas"
"207","Honduras","HND",27,1957,1,"developing",3,"Change","Americas"
"208","Honduras","HND",27,1963,0,"developing",3,"No Change","Americas"
"209","Honduras","HND",27,1965,1,"emerging",2,"Change","Americas"
"210","Honduras","HND",27,1972,0,"emerging",2,"No Change","Americas"
"211","Honduras","HND",27,1980,1,"emerging",2,"Change","Americas"
"212","Hong Kong","HKG",167,1997,1,"established",4,"Change","Asia"
"213","Hungary","HUN",210,1920,1,"developing",3,"Change","Europe"
"214","Hungary","HUN",210,1944,0,"emerging",2,"No Change","Europe"
"215","Hungary","HUN",210,1945,1,"emerging",2,"Change","Europe"
"216","Iceland","ISL",168,1916,1,"established",4,"Change","Europe"
"217","India","IND",39,1923,1,"emerging",2,"Change","Asia"
"218","India","IND",39,1939,0,"emerging",2,"No Change","Asia"
"219","India","IND",39,1946,1,"emerging",2,"Change","Asia"
"220","Indonesia","IDN",56,1956,1,"developing",3,"Change","Asia"
"221","Indonesia","IDN",56,1960,0,"emerging",2,"No Change","Asia"
"222","Indonesia","IDN",56,1971,1,"developing",3,"Change","Asia"
"223","Iran","IRN",79,1980,1,"emerging",2,"Change","Asia"
"224","Iraq","IRQ",80,1980,1,"emerging",2,"Change","Asia"
"225","Ireland","IRL",81,1921,1,"developing",3,"Change","Europe"
"226","Israel","ISR",169,1949,1,"established",4,"Change","Asia"
"227","Italy","ITA",82,1946,1,"developing",3,"Change","Europe"
"228","Ivory Coast","CIV",64,1946,1,"nascent",1,"Change","Africa"
"229","Ivory Coast","CIV",64,1999,0,"established",4,"No Change","Africa"
"230","Ivory Coast","CIV",64,2000,1,"established",4,"Change","Africa"
"231","Jamaica","JAM",120,1920,1,"developing",3,"Change","Americas"
"232","Japan","JPN",9,1947,1,"established",4,"Change","Asia"
"233","Jordan","JOR",83,1989,1,"developing",3,"Change","Asia"
"234","Kenya","KEN",40,1920,1,"nascent",1,"Change","Africa"
"235","Laos","LAO",123,1958,1,"emerging",2,"Change","Asia"
"236","Laos","LAO",123,1974,0,"emerging",2,"No Change","Asia"
"237","Laos","LAO",123,1989,1,"emerging",2,"Change","Asia"
"238","Latvia","LVA",84,1934,0,"established",4,"No Change","Europe"
"239","Latvia","LVA",84,1990,1,"established",4,"Change","Europe"
"240","Lebanon","LBN",44,1953,1,"developing",3,"Change","Asia"
"241","Lebanon","LBN",44,1975,0,"developing",3,"No Change","Asia"
"242","Lebanon","LBN",44,1992,1,"developing",3,"Change","Asia"
"243","Lesotho","LSO",85,1960,1,"developing",3,"Change","Africa"
"244","Lesotho","LSO",85,1970,0,"developing",3,"No Change","Africa"
"245","Lesotho","LSO",85,1985,1,"developing",3,"Change","Africa"
"246","Lesotho","LSO",85,1986,0,"developing",3,"No Change","Africa"
"247","Lesotho","LSO",85,1993,1,"established",4,"Change","Africa"
"248","Liberia","LBR",86,1951,1,"emerging",2,"Change","Africa"
"249","Liberia","LBR",86,1980,0,"developing",3,"No Change","Africa"
"250","Liberia","LBR",86,1986,1,"developing",3,"Change","Africa"
"251","Liberia","LBR",86,1990,0,"developing",3,"No Change","Africa"
"252","Liberia","LBR",86,1997,1,"developing",3,"Change","Africa"
"253","Libya","LBY",124,1964,1,"nascent",1,"Change","Africa"
"254","Libya","LBY",124,1969,0,"nascent",1,"No Change","Africa"
"255","Libya","LBY",124,1976,1,"nascent",1,"Change","Africa"
"256","Lithuania","LTU",173,1920,1,"developing",3,"Change","Europe"
"257","Lithuania","LTU",173,1931,0,"developing",3,"No Change","Europe"
"258","Lithuania","LTU",173,1936,1,"developing",3,"Change","Europe"
"259","Luxembourg","LUX",174,1919,1,"nascent",0,"Change","Europe"
"260","Luxembourg","LUX",174,1941,0,"emerging",2,"No Change","Europe"
"261","Luxembourg","LUX",174,1944,1,"emerging",2,"Change","Europe"
"262","Madagascar","MDG",125,1947,1,"emerging",2,"Change","Africa"
"263","Madagascar","MDG",125,1972,0,"developing",3,"No Change","Africa"
"264","Madagascar","MDG",125,1977,1,"none",0,"Change","Africa"
"265","Malawi","MWI",87,1961,1,"nascent",1,"Change","Africa"
"266","Malaysia","MYS",177,1955,1,"developing",3,"Change","Asia"
"267","Malaysia","MYS",177,1969,0,"established",4,"No Change","Asia"
"268","Malaysia","MYS",177,1971,1,"established",4,"Change","Asia"
"269","Maldives","MDV",88,1932,1,"emerging",2,"Change","Asia"
"270","Maldives","MDV",88,1940,0,"emerging",2,"No Change","Asia"
"271","Maldives","MDV",88,1942,1,"emerging",2,"Change","Asia"
"272","Mali","MLI",28,1946,1,"nascent",1,"Change","Africa"
"273","Mali","MLI",28,1968,0,"developing",3,"No Change","Africa"
"274","Mali","MLI",28,1979,1,"developing",3,"Change","Africa"
"275","Mali","MLI",28,1991,0,"established",4,"No Change","Africa"
"276","Mali","MLI",28,1992,1,"established",4,"Change","Africa"
"277","Malta","MLT",178,1947,1,"developing",3,"Change","Europe"
"278","Mauritania","MRT",65,1946,1,"nascent",1,"Change","Africa"
"279","Mauritania","MRT",65,1978,0,"developing",3,"No Change","Africa"
"280","Mauritania","MRT",65,1992,1,"developing",3,"Change","Africa"
"281","Mauritius","MUS",180,1948,1,"developing",3,"Change","Africa"
"282","Mexico","MEX",3,1955,1,"emerging",2,"Change","Americas"
"283","Mongolia","MNG",89,1924,1,"emerging",2,"Change","Asia"
"284","Montenegro","MNE",183,1998,1,"established",4,"Change","Europe"
"285","Morocco","MAR",90,1963,1,"emerging",2,"Change","Africa"
"286","Morocco","MAR",90,1965,0,"emerging",2,"No Change","Africa"
"287","Morocco","MAR",90,1970,1,"emerging",2,"Change","Africa"
"288","Morocco","MAR",90,1972,0,"emerging",2,"No Change","Africa"
"289","Morocco","MAR",90,1977,1,"emerging",2,"Change","Africa"
"290","Mozambique","MOZ",57,1973,1,"nascent",1,"Change","Africa"
"291","Mozambique","MOZ",57,1974,0,"nascent",1,"No Change","Africa"
"292","Mozambique","MOZ",57,1977,1,"developing",3,"Change","Africa"
"293","Namibia","NAM",127,1926,1,"nascent",1,"Change","Africa"
"294","Namibia","NAM",127,1983,0,"nascent",1,"No Change","Africa"
"295","Namibia","NAM",127,1990,1,"established",4,"Change","Africa"
"296","Nepal","NPL",58,1959,1,"emerging",2,"Change","Asia"
"297","Nepal","NPL",58,1960,0,"emerging",2,"No Change","Asia"
"298","Nepal","NPL",58,1962,1,"emerging",2,"Change","Asia"
"299","Netherlands","NLD",91,1922,1,"developing",3,"Change","Europe"
"300","Netherlands","NLD",91,1940,0,"developing",3,"No Change","Europe"
"301","Netherlands","NLD",91,1945,1,"developing",3,"Change","Europe"
"302","Nicaragua","NIC",59,1955,1,"nascent",1,"Change","Americas"
"303","Nicaragua","NIC",59,1979,0,"emerging",2,"No Change","Americas"
"304","Nicaragua","NIC",59,1984,1,"developing",3,"Change","Americas"
"305","Niger","NER",60,1947,1,"emerging",2,"Change","Africa"
"306","Niger","NER",60,1974,0,"emerging",2,"No Change","Africa"
"307","Niger","NER",60,1989,1,"developing",3,"Change","Africa"
"308","Nigeria","NGA",45,1955,1,"nascent",0,"Change","Africa"
"309","Nigeria","NGA",45,1966,0,"developing",3,"No Change","Africa"
"310","Nigeria","NGA",45,1979,1,"developing",3,"Change","Africa"
"311","Nigeria","NGA",45,1984,0,"developing",3,"No Change","Africa"
"312","Nigeria","NGA",45,1992,1,"established",4,"Change","Africa"
"313","Nigeria","NGA",45,1993,0,"established",4,"No Change","Africa"
"314","Nigeria","NGA",45,1999,1,"established",4,"Change","Africa"
"315","North Korea","PRK",41,1948,1,"nascent",1,"Change","Asia"
"316","Norway","NOR",186,1909,1,"developing",3,"Change","Europe"
"317","Norway","NOR",186,1940,0,"developing",3,"No Change","Europe"
"318","Norway","NOR",186,1945,1,"developing",3,"Change","Europe"
"319","Oman","OMN",187,1998,1,"nascent",0,"Change","Asia"
"320","Pakistan","PAK",29,1954,0,"nascent",0,"No Change","Asia"
"321","Pakistan","PAK",29,1960,1,"developing",3,"Change","Asia"
"322","Pakistan","PAK",29,1969,0,"emerging",2,"No Change","Asia"
"323","Pakistan","PAK",29,1972,1,"emerging",2,"Change","Asia"
"324","Pakistan","PAK",29,1977,0,"developing",3,"No Change","Asia"
"325","Pakistan","PAK",29,1985,1,"emerging",2,"Change","Asia"
"326","Pakistan","PAK",29,1999,0,"developing",3,"No Change","Asia"
"327","Palestine/British Mandate","PSB",209,1920,1,"emerging",2,"Change",NA
"328","Palestine/British Mandate","PSB",209,1948,0,"emerging",2,"No Change",NA
"329","Palestine/West Bank","PSE",128,1996,1,"established",4,"Change","Asia"
"330","Panama","PAN",92,1904,0,"developing",3,"No Change","Americas"
"331","Panama","PAN",92,1949,1,"developing",3,"Change","Americas"
"332","Panama","PAN",92,1968,0,"developing",3,"No Change","Americas"
"333","Panama","PAN",92,1972,1,"developing",3,"Change","Americas"
"334","Papua New Guinea","PNG",93,1951,1,"nascent",1,"Change","Oceania"
"335","Paraguay","PRY",189,1963,1,"nascent",1,"Change","Americas"
"336","Peru","PER",30,1956,1,"developing",3,"Change","Americas"
"337","Peru","PER",30,1962,0,"developing",3,"No Change","Americas"
"338","Peru","PER",30,1963,1,"developing",3,"Change","Americas"
"339","Peru","PER",30,1968,0,"developing",3,"No Change","Americas"
"340","Peru","PER",30,1980,1,"developing",3,"Change","Americas"
"341","Philippines","PHL",46,1938,1,"developing",3,"Change","Asia"
"342","Philippines","PHL",46,1942,0,"emerging",2,"No Change","Asia"
"343","Philippines","PHL",46,1945,1,"nascent",0,"Change","Asia"
"344","Philippines","PHL",46,1972,0,"developing",3,"No Change","Asia"
"345","Philippines","PHL",46,1978,1,"developing",3,"Change","Asia"
"346","Poland","POL",17,1944,0,"developing",3,"No Change","Europe"
"347","Poland","POL",17,1945,1,"developing",3,"Change","Europe"
"348","Portugal","PRT",21,1935,1,"emerging",2,"Change","Europe"
"349","Portugal","PRT",21,1974,0,"established",4,"No Change","Europe"
"350","Portugal","PRT",21,1976,1,"established",4,"Change","Europe"
"351","Republic of the Congo","COG",112,1947,1,"nascent",1,"Change","Africa"
"352","Republic of the Congo","COG",112,1968,0,"emerging",2,"No Change","Africa"
"353","Republic of the Congo","COG",112,1973,1,"emerging",2,"Change","Africa"
"354","Republic of the Congo","COG",112,1977,0,"emerging",2,"No Change","Africa"
"355","Republic of the Congo","COG",112,1979,1,"emerging",2,"Change","Africa"
"356","Republic of the Congo","COG",112,1991,0,"developing",3,"No Change","Africa"
"357","Republic of the Congo","COG",112,1992,1,"emerging",2,"Change","Africa"
"358","Republic of the Congo","COG",112,1997,0,"emerging",2,"No Change","Africa"
"359","Republic of Vietnam","VDR",35,1956,1,"developing",3,"Change",NA
"360","Republic of Vietnam","VDR",35,1963,0,"developing",3,"No Change",NA
"361","Republic of Vietnam","VDR",35,1966,1,"developing",3,"Change",NA
"362","Republic of Vietnam","VDR",35,1975,0,"developing",3,"No Change",NA
"363","Romania","ROU",190,1946,1,"emerging",2,"Change","Europe"
"364","Romania","ROU",190,1989,0,"established",4,"No Change","Europe"
"365","Romania","ROU",190,1990,1,"established",4,"Change","Europe"
"366","Russia","RUS",11,1917,1,"emerging",2,"Change","Europe"
"367","Russia","RUS",11,1918,0,"emerging",2,"No Change","Europe"
"368","Russia","RUS",11,1920,1,"emerging",2,"Change","Europe"
"369","Rwanda","RWA",129,1961,1,"emerging",2,"Change","Africa"
"370","Rwanda","RWA",129,1973,0,"developing",3,"No Change","Africa"
"371","Rwanda","RWA",129,1981,1,"developing",3,"Change","Africa"
"372","Rwanda","RWA",129,1994,0,"developing",3,"No Change","Africa"
"373","Sao Tome and Principe","STP",196,1973,1,"emerging",2,"Change","Africa"
"374","Sao Tome and Principe","STP",196,1974,0,"emerging",2,"No Change","Africa"
"375","Sao Tome and Principe","STP",196,1975,1,"established",4,"Change","Africa"
"376","Senegal","SEN",31,1946,1,"emerging",2,"Change","Africa"
"377","Serbia","SRB",198,1945,1,"emerging",2,"Change","Europe"
"378","Seychelles","SYC",199,1948,1,"developing",3,"Change","Africa"
"379","Seychelles","SYC",199,1977,0,"developing",3,"No Change","Africa"
"380","Seychelles","SYC",199,1979,1,"established",4,"Change","Africa"
"381","Sierra Leone","SLE",95,1962,1,"nascent",0,"Change","Africa"
"382","Sierra Leone","SLE",95,1967,0,"emerging",2,"No Change","Africa"
"383","Sierra Leone","SLE",95,1968,1,"emerging",2,"Change","Africa"
"384","Sierra Leone","SLE",95,1992,0,"emerging",2,"No Change","Africa"
"385","Sierra Leone","SLE",95,1996,1,"developing",3,"Change","Africa"
"386","Sierra Leone","SLE",95,1997,0,"developing",3,"No Change","Africa"
"387","Sierra Leone","SLE",95,1998,1,"developing",3,"Change","Africa"
"388","Singapore","SGP",200,1948,1,"emerging",2,"Change","Asia"
"389","Slovakia","SVK",201,1993,1,"established",4,"Change","Europe"
"390","Solomon Islands","SLB",203,1964,1,"emerging",2,"Change","Oceania"
"391","Somalia","SOM",130,1956,1,"nascent",1,"Change","Africa"
"392","Somalia","SOM",130,1969,0,"emerging",2,"No Change","Africa"
"393","Somalia","SOM",130,1979,1,"nascent",1,"Change","Africa"
"394","Somalia","SOM",130,1991,0,"nascent",1,"No Change","Africa"
